	method	tf	M	fid	args
0	DT	30	123	0.9991368561885445	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
1	DT	100	412	0.9999986954395383	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
2	DT	100	412	0.9999998857826431	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
3	DT	30	123	0.99999999	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
4	DT	100	412	0.9980561599327656	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
5	DT	100	412	0.9999244297158603	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
6	DT	100	412	0.99999999	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
7	DT	100	412	0.9999970620690759	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
8	DT	100	412	0.9956223816276754	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
9	DT	100	412	0.999993383642715	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
10	DT	30	123	0.9999999492828621	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
11	DT	100	412	0.9999994207222558	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
12	DT	30	123	0.9998298122001763	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
13	DT	100	412	0.9777979725285864	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
14	DT	100	412	0.9999999774795342	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
15	DT	100	412	0.9999850996552149	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
16	DT	100	412	0.9999997427771922	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
17	DT	30	123	0.9999850996552149	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
18	DT	30	123	0.95	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
19	DT	30	123	0.9999664437295102	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
20	DT	30	123	0.9777979725285864	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
21	DT	30	123	1.0	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
22	DT	100	412	0.9901413995231718	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
23	DT	30	123	0.9956223816276754	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
24	DT	100	412	0.9999664437295102	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
25	DT	30	123	0.9999970620690759	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
26	DT	30	123	0.999993383642715	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
27	DT	30	123	0.9901413995231718	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
28	DT	30	123	0.9996167291477257	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
29	DT	100	412	0.9996167291477257	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
30	DT	30	123	0.9999994207222558	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
31	DT	100	412	0.9991368561885445	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
32	DT	100	412	1.0	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
33	DT	30	123	0.9999998857826431	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
34	DT	30	123	0.9999999774795342	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
35	DT	30	123	0.9999244297158603	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
36	DT	30	123	0.9999997427771922	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
37	DT	100	412	0.9999999492828621	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
38	DT	100	412	0.9998298122001763	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
39	DT	100	412	0.95	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
40	DT	30	123	0.9999986954395383	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
41	DT	30	123	0.9980561599327656	(0, 0, 0, 0, -1, -1, -4, 2, 1, 1)
