	method	tf	M	fid	args
0	DT	25.072408441975732	50	0.9998298122001763	(4, 2, 1223749, 0, 1.0)
1	DT	19.86570280553979	37	0.9999970620690759	(5, 3, 1223749, 4, 1.0)
2	DT	36.72400022377217	82	0.9998298122001763	(6, 3, 1223749, 6, 1.0)
3	DT	20.272053826375494	50	0.99999999	(7, 4, 1223749, 8, 1.0)
4	DT	25.072408441975732	50	0.9999999774795342	(4, 2, 1223749, 0, 1.0)
5	DT	30.256353376570324	75	0.9999664437295102	(7, 4, 1223749, 11, 1.0)
6	DT	18.580306022564123	37	0.9999970620690759	(5, 3, 1223749, 0, 1.0)
7	DT	20.08351234691571	30	0.9991368561885445	(4, 2, 1223749, 1, 1.0)
8	DT	46.62934994568243	116	0.999993383642715	(7, 4, 1223749, 4, 1.0)
9	DT	27.669801480694208	51	0.9999850996552149	(5, 3, 1223749, 5, 1.0)
10	DT	15.063243419319775	41	0.95	(7, 4, 1223749, 0, 1.0)
11	DT	74.45778192576036	204	0.9999986954395383	(8, 4, 1223749, 15, 1.0)
12	DT	20.71490841274122	41	0.99999999	(5, 3, 1223749, 2, 1.0)
13	DT	20.08351234691571	30	0.95	(4, 2, 1223749, 1, 1.0)
14	DT	31.87383328062299	95	0.9956223816276754	(8, 4, 1223749, 0, 1.0)
15	DT	44.824482184586365	67	0.9999999774795342	(4, 2, 1223749, 2, 1.0)
16	DT	21.672125071453813	51	0.9999970620690759	(6, 3, 1223749, 0, 1.0)
17	DT	70.09187833087464	192	0.9777979725285864	(8, 4, 1223749, 5, 1.0)
18	DT	31.87383328062299	95	0.9999997427771922	(8, 4, 1223749, 0, 1.0)
19	DT	30.256353376570324	75	0.9777979725285864	(7, 4, 1223749, 11, 1.0)
20	DT	39.317827762509644	108	0.9999997427771922	(8, 4, 1223749, 10, 1.0)
21	DT	31.87383328062299	95	0.9777979725285864	(8, 4, 1223749, 0, 1.0)
22	DT	21.672125071453813	51	0.9901413995231718	(6, 3, 1223749, 0, 1.0)
23	DT	74.45778192576036	204	0.9999997427771922	(8, 4, 1223749, 15, 1.0)
24	DT	21.672125071453813	51	0.9999664437295102	(6, 3, 1223749, 0, 1.0)
25	DT	39.317827762509644	108	0.999993383642715	(8, 4, 1223749, 10, 1.0)
26	DT	20.08351234691571	30	0.9999986954395383	(4, 2, 1223749, 1, 1.0)
27	DT	15.063243419319775	41	0.9999999774795342	(7, 4, 1223749, 0, 1.0)
28	DT	31.87383328062299	95	0.9999999492828621	(8, 4, 1223749, 0, 1.0)
29	DT	20.08351234691571	30	1.0	(4, 2, 1223749, 1, 1.0)
30	DT	36.72400022377217	82	0.9999999774795342	(6, 3, 1223749, 6, 1.0)
31	DT	15.063243419319775	41	0.9999970620690759	(7, 4, 1223749, 0, 1.0)
32	DT	30.256353376570324	75	0.999993383642715	(7, 4, 1223749, 11, 1.0)
33	DT	18.580306022564123	37	0.9999997427771922	(5, 3, 1223749, 0, 1.0)
34	DT	31.87383328062299	95	0.99999999	(8, 4, 1223749, 0, 1.0)
35	DT	74.45778192576036	204	0.9999994207222558	(8, 4, 1223749, 15, 1.0)
36	DT	20.71490841274122	41	0.9999999774795342	(5, 3, 1223749, 2, 1.0)
37	DT	39.317827762509644	108	0.9996167291477257	(8, 4, 1223749, 10, 1.0)
38	DT	44.824482184586365	67	0.9999970620690759	(4, 2, 1223749, 2, 1.0)
39	DT	20.08351234691571	30	0.9999244297158603	(4, 2, 1223749, 1, 1.0)
40	DT	27.669801480694208	51	0.9998298122001763	(5, 3, 1223749, 5, 1.0)
41	DT	40.061516146707994	90	0.9956223816276754	(6, 3, 1223749, 8, 1.0)
42	DT	25.072408441975732	50	0.9999994207222558	(4, 2, 1223749, 0, 1.0)
43	DT	70.09187833087464	192	0.95	(8, 4, 1223749, 5, 1.0)
